position	frequency
1	4
2	6
3	10
4	15
5	18
6	20
7	23
8	27
9	28
10	30
11	33
12	35
13	41
14	43
15	47
16	50
17	52
18	53
19	56
20	58
21	62
22	64
23	67
24	70
25	72
26	77
27	79
28	83
29	84
30	86
31	90
32	92
33	94
34	98
35	99
36	100
37	101
38	104
39	106
40	106
41	107
42	108
43	110
44	110
45	112
46	113
47	115
48	120
49	122
50	124
51	127
52	128
53	130
54	133
55	134
56	138
57	140
58	142
59	143
60	147
61	149
62	151
63	151
64	154
65	155
66	155
67	157
68	160
69	164
70	165
71	167
72	169
73	172
74	172
75	172
76	175
77	178
78	180
79	182
80	185
81	188
82	188
83	190
84	190
85	191
86	193
87	194
88	194
89	195
90	199
91	203
92	205
93	208
94	212
95	215
96	216
97	217
98	218
99	218
100	218
101	220
102	221
103	226
104	227
105	227
106	228
107	228
108	229
109	230
110	231
111	231
112	232
113	234
114	236
115	237
116	237
117	237
118	237
119	237
120	238
121	238
122	239
123	243
124	243
125	246
126	246
127	247
128	249
129	250
130	253
131	255
132	257
133	259
134	260
135	263
136	265
137	265
138	265
139	265
140	266
141	266
142	266
143	267
144	268
145	268
146	268
147	268
148	269
149	271
150	276
151	278
152	279
153	280
154	282
155	283
156	285
157	287
158	288
159	288
160	288
161	292
162	296
163	298
164	300
165	300
166	302
167	303
168	306
169	307
170	307
171	309
172	310
173	311
174	313
175	317
176	317
177	319
178	320
179	320
180	322
181	325
182	325
183	326
184	326
185	328
186	331
187	333
188	334
189	335
190	338
191	339
192	340
193	342
194	343
195	345
196	345
197	345
198	349
199	351
200	353
201	354
202	355
203	356
204	356
205	360
206	360
207	361
208	362
209	363
210	363
211	366
212	368
213	370
214	371
215	373
216	375
217	376
218	378
219	381
220	383
221	388
222	391
223	392
224	396
225	400
226	405
227	408
228	412
229	415
230	418
231	422
232	424
233	428
234	430
235	432
236	436
237	436
238	438
239	440
240	442
241	446
242	451
243	453
244	454
245	457
246	461
247	464
248	466
249	470
250	472
251	474
