position	frequency
1	31.6
2	31.68
3	31.65
4	31.69
5	31.67
6	31.8
7	31.7
8	31.67
9	31.59
10	31.55
11	31.57
12	31.55
13	31.56
14	31.44
15	31.47
16	31.47
17	31.55
18	31.48
19	31.42
20	31.4
21	31.44
22	31.34
23	31.29
24	31.34
25	31.2
26	31.09
27	31.19
28	31.17
29	31.15
30	31.14
31	31.46
32	31.04
33	30.95
34	30.94
35	30.95
36	30.93
37	31.02
38	30.95
39	30.87
40	30.88
41	30.9
42	30.79
43	30.78
44	30.86
45	30.8
46	30.85
47	30.8
48	30.83
49	30.81
50	30.88
51	30.82
52	30.8
53	30.92
54	30.89
55	30.81
56	30.88
57	30.88
58	30.87
59	30.94
60	30.85
61	30.89
62	30.91
63	30.94
64	30.93
65	30.9
66	30.86
67	30.84
68	30.86
69	30.79
70	30.84
71	30.78
72	30.85
73	30.86
74	30.79
75	30.85
76	30.85
77	30.82
78	30.86
79	30.78
80	30.75
81	30.76
82	30.75
83	30.76
84	30.8
85	30.8
86	30.82
87	30.87
88	30.92
89	30.88
90	30.88
91	30.88
92	30.81
93	30.89
94	30.97
95	30.94
96	30.91
97	30.87
98	30.77
99	30.87
100	30.84
101	30.82
102	30.77
103	30.68
104	30.66
105	30.56
106	30.48
107	30.52
108	30.6
109	30.53
110	30.65
111	30.75
112	30.7
113	30.66
114	30.67
115	30.8
116	30.83
117	30.9
118	30.85
119	30.78
120	30.75
121	30.77
122	30.77
123	30.8
124	30.85
125	30.75
126	30.77
127	30.62
128	30.63
129	30.65
130	30.61
131	30.55
132	30.6
133	30.49
134	30.59
135	30.6
136	30.63
137	30.55
138	30.52
139	30.48
140	30.47
141	30.52
142	30.56
143	30.61
144	30.61
145	30.59
146	30.66
147	30.76
148	30.7
149	30.6
150	30.53
151	30.53
152	30.62
153	30.63
154	30.63
155	30.69
156	30.64
157	30.67
158	30.64
159	30.62
160	30.53
161	30.7
162	30.68
163	30.71
164	30.68
165	30.78
166	30.75
167	30.7
168	30.76
169	30.8
170	30.83
171	30.79
172	30.92
173	30.94
174	30.86
175	30.82
176	30.8
177	30.84
178	30.85
179	30.9
180	30.93
181	30.94
182	30.95
183	30.87
184	30.9
185	30.88
186	30.9
187	30.89
188	30.9
189	30.92
190	30.85
191	30.86
192	30.75
193	30.72
194	30.87
195	31.01
196	30.99
197	31.01
198	31.05
199	31.03
200	31.02
201	31.06
202	31.09
203	31.17
204	31.13
205	30.94
206	30.94
207	30.97
208	31.08
209	31.14
210	31.05
211	31.08
212	31.05
213	31.03
214	31.01
215	31.07
216	31.12
217	31.04
218	31.09
219	31.14
220	31.1
221	31.06
222	31.08
223	30.96
224	31.1
225	31.08
226	31.05
227	31.07
228	31.04
229	30.98
230	31
231	31.14
232	31.09
233	31.06
234	31.16
235	31.01
236	31.16
237	31.16
238	31.25
239	31.23
240	31.27
241	31.27
242	31.2
243	31.17
244	31.21
245	31.25
246	31.26
247	31.24
248	31.44
249	31.42
250	31.4
251	31.28
252	31.2
253	31.19
254	31.24
255	31.27
256	31.3
257	31.42
258	31.31
259	31.34
260	31.23
261	31.13
262	31.11
263	31.19
264	31.24
265	31.18
266	31.13
267	31.01
268	31.15
269	31.03
270	30.98
271	31.06
272	31.06
273	31.04
274	31.05
275	31.09
276	31.05
277	31.16
278	31.24
279	31.07
280	30.95
281	30.93
282	30.91
283	30.95
284	30.93
285	30.83
286	30.83
287	30.77
288	30.71
289	30.79
290	30.86
291	30.76
292	30.8
293	30.9
294	30.84
295	30.96
296	30.9
297	30.9
298	30.94
299	30.93
300	30.81
301	30.77
302	30.7
303	30.67
304	30.62
305	30.63
306	30.61
307	30.61
308	30.56
309	30.57
310	30.57
311	30.58
312	30.6
313	30.64
314	30.55
315	30.6
316	30.54
317	30.59
318	30.59
319	30.67
320	30.64
321	30.56
322	30.59
323	30.55
324	30.44
325	30.51
326	30.46
327	30.48
328	30.46
329	30.45
330	30.35
331	30.39
332	30.44
333	30.54
334	30.38
335	30.43
336	30.43
337	30.34
338	30.34
339	30.4
340	30.42
341	30.32
342	30.32
343	30.27
344	30.28
345	30.2
346	30.24
347	30.25
348	30.28
349	30.28
350	30.2
351	30.14
352	30.11
353	30.07
354	30.02
355	29.96
356	30.06
357	30.07
358	30.15
359	30.06
360	30.13
361	30.01
362	30.04
363	30.01
364	30.15
365	30.09
366	30.16
367	30.09
368	30.19
369	30.11
370	30.15
371	30.17
372	30.08
373	30.17
374	30.05
375	30.11
376	30
377	30.08
378	30.19
379	30.16
380	30.26
381	30.22
382	30.2
383	30.24
384	30.19
385	30.21
386	30.13
387	30.2
388	30.24
389	30.2
390	30.22
391	30.26
392	30.3
393	30.24
394	30.43
395	30.31
396	30.43
397	30.51
398	30.47
399	30.35
400	30.25
401	30.19
402	30.14
403	30.25
404	30.24
405	30.21
406	30.2
407	30.27
408	30.11
409	30.15
410	30.11
411	30.11
412	30.12
413	30.02
414	30
415	30.01
416	29.97
417	29.9
418	29.93
419	30.05
420	30.14
421	30.08
422	30.13
423	30.09
424	30.08
425	30.12
426	30.18
427	30.11
428	30.09
429	29.96
430	30.02
431	30.03
432	30.05
433	30.01
434	30
435	30.07
436	30.15
437	30.14
438	30.17
439	30.22
440	30.21
441	30.18
442	30.15
443	30.2
444	30.2
445	30.22
446	30.24
447	30.29
448	30.22
449	30.25
450	30.19
451	30.21
452	30.17
453	30.29
454	30.22
455	30.23
456	30.29
457	30.35
458	30.33
459	30.3
460	30.26
461	30.31
462	30.3
463	30.33
464	30.44
465	30.4
466	30.48
467	30.48
468	30.5
469	30.48
470	30.49
471	30.49
472	30.52
473	30.49
474	30.47
475	30.46
476	30.5
477	30.45
478	30.42
479	30.38
480	30.42
481	30.45
482	30.46
483	30.43
484	30.44
485	30.48
486	30.49
487	30.42
488	30.45
489	30.39
490	30.35
491	30.37
492	30.35
493	30.34
494	30.41
495	30.38
496	30.4
497	30.48
498	30.51
499	30.51
500	30.52
501	30.51
502	30.5
503	30.55
504	30.53
505	30.59
506	30.63
507	30.62
508	30.62
509	30.63
510	30.61
511	30.59
512	30.58
513	30.57
514	30.57
515	30.57
516	30.49
517	30.53
518	30.6
519	30.59
520	30.63
521	30.68
522	30.69
523	30.69
524	30.71
525	30.71
526	30.73
527	30.75
528	30.73
529	30.69
530	30.65
531	30.65
532	30.68
533	30.7
534	30.72
535	30.73
536	30.79
537	30.72
538	30.75
539	30.77
540	30.81
541	30.71
542	30.76
543	30.81
544	30.81
545	30.83
546	30.79
547	30.74
548	30.74
549	30.67
550	30.69
551	30.66
552	30.68
553	30.7
554	30.67
555	30.66
556	30.62
557	30.55
558	30.6
559	30.65
560	30.69
561	30.74
562	30.8
563	30.93
564	30.86
565	30.92
566	31.07
567	31.02
568	31.02
569	30.98
570	31
571	31.05
572	31.05
573	31.02
574	31.04
575	30.98
576	30.97
577	30.93
578	30.92
579	30.95
580	30.98
581	30.99
582	30.97
583	31.04
584	30.99
585	30.97
586	30.96
587	31
588	30.94
589	30.94
590	30.93
591	30.94
592	30.94
593	31.05
594	31.01
595	31.09
596	31.1
597	31.05
598	31.05
599	31.04
600	31.07
601	31.07
602	31.01
603	31.03
604	31.1
605	31.09
606	31.07
607	30.97
608	30.93
609	30.91
610	30.9
611	30.93
612	30.9
613	30.84
614	30.84
615	30.89
616	31.03
617	31.09
618	31.02
619	31.03
620	31
621	30.93
622	30.99
623	30.98
624	31.01
625	31.07
626	30.92
627	31
628	30.99
629	31.07
630	31.12
631	31.17
632	31.17
633	31.16
634	31.2
635	31.15
636	31.15
637	31.1
638	31.21
639	31.25
640	31.14
641	31.21
642	31.27
643	31.28
644	31.22
645	31.13
646	31.27
647	31.2
648	31.28
649	31.3
650	31.33
651	31.18
652	31.21
653	31.24
654	31.25
655	31.25
656	31.25
657	31.27
658	31.2
659	31.27
660	31.24
661	31.29
662	31.24
663	31.29
664	31.36
665	31.39
666	31.36
667	31.38
668	31.38
669	31.41
670	31.43
671	31.45
672	31.46
673	31.48
674	31.59
675	31.51
676	31.41
677	31.41
678	31.45
679	31.47
680	31.43
681	31.51
682	31.61
683	31.65
684	31.6
685	31.59
686	31.66
687	31.67
688	31.78
689	31.77
690	31.82
