position	frequency
1	299.67
2	299.45
3	299.23
4	299.71
5	299.8
6	298.98
7	299.57
8	299.67
9	299.8
10	299.29
11	298.93
12	299.68
13	299.45
14	299.68
15	299.24
16	299.42
17	299.27
18	299.69
19	299.89
20	299.39
21	299.5
22	300.22
23	300.01
24	300.62
25	300.2
26	299.85
27	299.64
28	299.41
29	299.35
30	299.37
31	299.78
32	299.91
33	299.43
34	299.48
35	299.36
36	299.39
37	299.35
38	299.47
39	299.07
40	299.01
41	299.03
42	298.22
43	298.96
44	298.67
45	298.97
46	303.77
47	294.1
48	293.6
49	293.35
50	292.81
51	293.62
52	293.49
53	293.52
54	293.07
55	293.35
56	293.47
57	293.47
58	293.95
59	293.48
60	293.76
61	293.63
62	293.78
63	293.37
64	293.78
65	293.73
66	294.4
67	294.16
68	293.96
69	293.74
70	293.97
71	294.09
72	293.62
73	294.16
74	293.97
75	293.64
76	293.49
77	293.62
78	294.19
79	293.54
80	293.58
81	293.43
82	293.39
83	292.71
84	292.52
85	292.86
86	293.32
87	293.2
88	293.14
89	293.27
90	292.77
91	293.04
92	293.68
93	293.55
94	292.72
95	293.67
96	292.93
97	293.09
98	293.37
99	293.65
100	293.3
101	293.75
102	293.45
103	293.48
104	293.22
105	293.22
106	293.47
107	293.96
108	294.27
109	293.66
110	293.9
111	293.67
112	294
113	293.4
114	293.36
115	293.52
116	293.3
117	292.72
118	292.97
119	293.35
120	293.1
121	292.64
122	292.85
123	292.8
124	292.67
125	292.92
126	293.22
127	293.12
128	292.97
129	293.26
130	293.38
131	293.52
132	293.42
133	293.69
134	293.71
135	294
136	293.49
137	293.55
138	293.26
139	293.62
140	294.14
141	294.17
142	293.98
143	294.36
144	294.58
145	293.87
146	293.86
147	293.8
148	293.84
149	293.8
150	294.03
151	293.81
152	294.78
153	294.19
154	294.32
155	293.8
156	293.86
157	294.07
158	293.55
159	293.94
160	293.63
161	294.09
162	294.09
163	293.59
164	293.21
165	294.15
166	293.28
167	293.59
168	293.56
169	293.52
170	293.21
171	292.78
172	293.71
173	294.22
174	294.71
175	293.69
176	294.24
177	294.09
178	293.63
179	294.01
180	293.91
181	293.82
182	294.12
183	294.09
184	294.18
185	294.57
186	294.09
187	294.47
188	293.88
189	294.44
190	293.37
191	294.14
192	294.21
193	293.56
194	293.63
195	293.91
196	294.3
197	293.96
198	294.32
199	294.24
200	294.03
201	294.29
202	294.13
203	294.91
204	294.27
205	294.21
206	294.33
207	294.07
208	294.38
209	294.57
210	294.99
211	294.84
212	295.25
213	294.54
214	294.56
215	294.94
216	295.08
217	295.28
218	294.64
219	294.68
220	294.38
221	294.93
222	294.68
223	293.74
224	294.73
225	294.04
226	294.46
227	294.59
228	294.43
229	294.07
230	293.74
231	294.1
232	294.36
233	294.3
234	294
235	294.41
236	294.4
237	294.5
238	294.45
239	294.8
240	294.29
241	295.77
242	294.94
243	294.7
244	294.79
245	294.93
246	293.73
247	294.97
248	294.96
249	294.9
250	294.25
251	295.21
252	294.83
253	294.32
254	294.25
255	294.59
256	294.58
257	294.7
258	294.61
259	294.71
260	295.21
261	294.72
262	294.71
263	295
264	294.83
265	295.43
266	295.51
267	295.13
268	294.82
269	294.7
270	295.11
271	294.58
272	294.96
273	294.84
274	295.8
275	295.54
276	295.82
277	295.78
278	295.65
279	296.22
280	295.56
281	295.91
282	295.85
283	295.1
284	295.93
285	294.67
286	295.29
287	295.06
288	295.33
289	295.37
290	295.42
291	295.55
292	294.53
293	293.9
294	294.22
295	294.08
296	294.48
297	294.23
298	294.08
299	294.79
300	294.85
301	294.2
302	294.15
303	294.01
304	294.14
305	294.24
306	293.96
307	293.9
308	293.87
309	294.04
310	294.19
311	293.87
312	293.34
313	293.56
314	293.26
315	292.76
316	293.44
317	293.44
318	293.18
319	294.05
320	293.93
321	294.34
322	293.56
323	293.48
324	293.99
325	294.38
326	293.47
327	293.87
328	294.06
329	293.47
330	293.58
331	293.06
332	293.37
333	292.5
334	292.62
335	292.95
336	292.81
337	292.71
338	292.91
339	292.43
340	292.66
341	292.7
342	292.37
343	292.91
344	292.02
345	291.94
346	291.88
347	291.91
348	291.61
349	292.13
350	291.91
351	291.75
352	291.85
353	291.94
354	291.85
355	292.33
356	292.19
357	292.29
358	291.83
359	292.43
360	291.6
361	291.98
362	291.74
363	291.95
364	291.62
365	291.7
366	291.98
367	291.71
368	291.42
369	292.68
