position	frequency
1	2
2	2
3	3
4	4
5	7
6	9
7	10
8	10
9	11
10	13
11	16
12	17
13	18
14	19
15	19
16	20
17	22
18	26
19	29
20	29
21	30
22	31
23	31
24	32
25	34
26	34
27	35
28	35
29	35
30	35
31	35
32	35
33	35
34	38
35	40
36	40
37	41
38	41
39	41
40	43
41	44
42	45
43	45
44	46
45	46
46	46
47	46
48	47
49	48
50	49
51	50
52	51
53	52
54	52
55	52
56	57
57	58
58	59
59	59
60	60
61	61
62	62
63	62
64	62
65	62
66	62
67	64
68	64
69	64
70	64
71	65
72	65
73	66
74	67
75	69
76	70
77	70
78	70
79	72
80	72
81	73
82	73
83	73
84	76
85	76
86	77
87	77
88	77
89	77
90	77
91	78
92	78
93	79
94	82
95	83
96	84
97	86
98	86
99	86
100	87
101	87
102	89
103	90
104	91
105	91
106	91
107	91
108	92
109	92
110	92
111	92
112	92
113	93
114	93
115	94
116	94
117	95
118	96
119	97
120	97
121	98
122	98
123	98
124	98
125	98
126	100
127	101
128	102
129	103
130	104
131	106
132	106
133	107
134	107
135	108
136	108
137	108
138	108
139	108
140	108
141	109
142	111
143	111
144	111
145	111
146	111
147	111
148	111
149	112
150	112
151	112
152	112
153	112
154	112
155	112
156	113
157	114
158	115
159	115
160	115
161	115
162	115
163	115
164	115
165	115
166	115
167	115
168	115
169	115
170	116
171	117
172	117
173	117
174	117
175	118
176	118
177	118
178	118
179	119
180	119
181	119
182	121
183	121
184	121
185	121
186	121
187	123
188	123
189	124
190	124
191	124
192	124
193	125
194	125
195	125
196	125
197	125
198	126
199	126
200	126
201	126
202	127
203	127
204	127
205	127
206	127
207	127
208	127
209	127
210	127
211	127
212	127
213	128
214	128
215	128
216	128
217	129
218	129
219	129
220	129
221	130
222	130
223	131
224	131
225	132
226	133
227	133
228	133
229	133
230	133
231	133
232	133
233	133
234	134
235	135
236	135
237	135
238	135
239	135
240	135
241	137
242	137
243	137
244	137
245	137
246	137
247	137
248	137
249	137
250	139
251	139
252	139
253	139
254	139
255	139
256	139
257	139
258	139
259	140
260	141
261	141
262	142
263	143
264	143
265	144
266	145
267	145
268	145
