x_obs,raw_y,corrected_y,truth_y,gene_name
1,1,279.37157697515175,315.65,ENSG00000285444
2,1,280.70260688886435,315.4,ENSG00000285444
3,1,282.024263857948,315.68,ENSG00000285444
4,4,283.33645686990684,315.37,ENSG00000285444
5,4,284.63909431851096,315.99,ENSG00000285444
6,4,285.93208382567764,315.74,ENSG00000285444
7,4,287.2153320674809,316.09,ENSG00000285444
8,5,288.4887446033502,316.43,ENSG00000285444
9,6,289.752225707867,315.75,ENSG00000285444
10,6,291.00567820474777,315.16,ENSG00000285444
11,6,292.2490033027173,314.97,ENSG00000285444
12,9,293.4821004330463,315.45,ENSG00000285444
13,10,294.7048670885773,314.8,ENSG00000285444
14,13,295.9171986641022,315.28,ENSG00000285444
15,14,297.11898829797906,315.09,ENSG00000285444
16,16,298.3101267149011,315.66,ENSG00000285444
17,17,299.4905020697495,315.55,ENSG00000285444
18,18,300.65999979247187,315.24,ENSG00000285444
19,21,301.8185024339512,315.03,ENSG00000285444
20,21,302.9658895128336,314.9,ENSG00000285444
21,22,304.10203736330067,314.82,ENSG00000285444
22,23,305.22681898378056,315.37,ENSG00000285444
23,27,306.3401038866048,315.29,ENSG00000285444
24,27,307.4417579486276,315.21,ENSG00000285444
25,27,308.5316432628327,315.43,ENSG00000285444
26,28,309.6096179909723,314.81,ENSG00000285444
27,29,310.67553621728194,314.81,ENSG00000285444
28,31,311.7292478033377,315.01,ENSG00000285444
29,31,312.7705982441291,314.41,ENSG00000285444
30,33,313.799428525433,317.26,ENSG00000285444
31,33,314.81557498259167,311.76,ENSG00000285444
32,33,315.8188691608074,311.03,ENSG00000285444
33,34,316.80913767708296,311.11,ENSG00000285444
34,36,317.78620208395245,311.53,ENSG00000285444
35,37,318.74987873516295,311.31,ENSG00000285444
36,39,319.69997865348245,311.13,ENSG00000285444
37,39,320.63630740083084,311.02,ENSG00000285444
38,39,321.55866495094375,311.57,ENSG00000285444
39,41,322.4668455648027,312.09,ENSG00000285444
40,41,323.3606376690826,311.58,ENSG00000285444
41,42,324.23982373788795,311.19,ENSG00000285444
42,43,325.10418017807166,312.05,ENSG00000285444
43,43,325.95347721845206,311.94,ENSG00000285444
44,43,326.78747880326534,312.09,ENSG00000285444
45,45,327.6059424902175,312.46,ENSG00000285444
46,47,328.4086193535197,312.48,ENSG00000285444
47,49,329.19525389232126,311.98,ENSG00000285444
48,50,329.9655839449744,312.51,ENSG00000285444
49,51,330.7193406095978,311.89,ENSG00000285444
50,52,331.4562481714261,312.13,ENSG00000285444
51,53,332.58905899061773,312.29,ENSG00000285444
52,53,333.3059651671588,311.92,ENSG00000285444
53,54,333.989150764193,312.04,ENSG00000285444
54,54,334.655068239666,312.2,ENSG00000285444
55,54,335.27589829042336,312.61,ENSG00000285444
56,54,335.85081333754806,311.89,ENSG00000285444
57,55,336.39321341165703,312.17,ENSG00000285444
58,55,336.9164914616862,312.47,ENSG00000285444
59,56,337.41979867614214,312.4,ENSG00000285444
60,57,337.88654391123123,312.08,ENSG00000285444
61,57,338.31439373326697,312.58,ENSG00000285444
62,57,338.7197742766621,312.57,ENSG00000285444
63,58,339.10487011643426,312.53,ENSG00000285444
64,59,339.4861537695443,312.23,ENSG00000285444
65,59,339.850121096072,312.37,ENSG00000285444
66,59,340.2118208364402,312.64,ENSG00000285444
67,59,340.5563253444444,312.0,ENSG00000285444
68,61,340.88299545821576,311.77,ENSG00000285444
69,62,341.2227465929166,311.94,ENSG00000285444
70,63,341.5307530309314,312.52,ENSG00000285444
71,63,341.82074287152005,312.48,ENSG00000285444
72,63,342.0922041691322,312.87,ENSG00000285444
73,63,342.37768113291435,313.25,ENSG00000285444
74,64,342.6339779154041,313.43,ENSG00000285444
75,64,342.8591877584868,313.35,ENSG00000285444
76,64,343.06716514463255,313.02,ENSG00000285444
77,66,343.25752618844217,313.42,ENSG00000285444
78,66,343.43141436425157,312.82,ENSG00000285444
79,67,343.57423505206356,313.12,ENSG00000285444
80,67,343.71568603349783,313.56,ENSG00000285444
81,68,343.82546329029105,313.77,ENSG00000285444
82,68,343.90179096562764,313.46,ENSG00000285444
83,68,343.9586578419143,313.09,ENSG00000285444
84,68,344.011583264773,313.91,ENSG00000285444
85,68,344.04611719564537,314.47,ENSG00000285444
86,68,344.07787091204693,313.22,ENSG00000285444
87,68,344.076722413423,313.48,ENSG00000285444
88,68,344.02681718108647,312.86,ENSG00000285444
89,68,343.97383488057034,312.76,ENSG00000285444
90,68,343.8734295693853,313.1,ENSG00000285444
91,68,343.75555529475923,313.78,ENSG00000285444
92,68,343.60590757322126,313.51,ENSG00000285444
93,68,343.42445374072753,313.16,ENSG00000285444
94,69,343.2096686192259,313.01,ENSG00000285444
95,69,342.99156673528836,313.46,ENSG00000285444
96,70,342.7717033586433,313.3,ENSG00000285444
97,70,342.5517049835744,313.19,ENSG00000285444
98,70,342.3175051220206,313.93,ENSG00000285444
99,71,342.0693454306395,313.47,ENSG00000285444
100,71,341.8075121578337,313.64,ENSG00000285444
101,71,341.532337320249,313.76,ENSG00000285444
102,71,341.1999051824568,313.6,ENSG00000285444
103,71,340.8563481906812,313.7,ENSG00000285444
104,73,340.486287579582,313.85,ENSG00000285444
